ID	B1	B2	B3	B4	B5	B6	B7	NDII
105	0.0594	0.3694	0.0358	0.1009	0.3742	0.2681	0.1244	0.159
106	0.0603	0.3481	0.0360	0.0996	0.3426	0.2269	0.0983	0.211
107	0.0528	0.3390	0.0311	0.0887	0.3316	0.2136	0.0890	0.227
108	0.0628	0.3245	0.0359	0.0953	0.3309	0.2280	0.1058	0.175
109	0.0563	0.3132	0.0315	0.0829	0.3284	0.2329	0.1096	0.147
110	0.0691	0.3400	0.0413	0.1056	0.3401	0.2317	0.1081	0.189
111	0.0684	0.3300	0.0396	0.1010	0.3377	0.2364	0.1143	0.165
112	0.0744	0.3446	0.0439	0.1090	0.3649	0.2772	0.1428	0.108
113	0.0661	0.3367	0.0392	0.1019	0.3325	0.2207	0.1012	0.208
114	0.0548	0.3462	0.0320	0.0929	0.3519	0.2468	0.1090	0.168
115	0.0548	0.3563	0.0326	0.0945	0.3558	0.2434	0.1057	0.188
116	0.0611	0.3358	0.0342	0.0912	0.3731	0.3092	0.1687	0.041
117	0.0636	0.3622	0.0387	0.1054	0.3613	0.2496	0.1128	0.184
118	0.0610	0.3262	0.0346	0.0916	0.3402	0.2433	0.1158	0.146
119	0.0560	0.3472	0.0333	0.0955	0.3389	0.2200	0.0913	0.224
120	0.0737	0.3480	0.0440	0.1098	0.3615	0.2659	0.1332	0.134
121	0.0642	0.3349	0.0374	0.0983	0.3396	0.2343	0.1093	0.177
122	0.0686	0.3451	0.0400	0.1034	0.3635	0.2724	0.1365	0.118
123	0.0678	0.3451	0.0408	0.1055	0.3408	0.2281	0.1047	0.204
124	0.0641	0.3751	0.0397	0.1081	0.3725	0.2592	0.1181	0.183
125	0.0519	0.3649	0.0304	0.0906	0.3883	0.3111	0.1618	0.080
126	0.0583	0.3235	0.0335	0.0904	0.3226	0.2130	0.0954	0.206
127	0.0619	0.3234	0.0352	0.0931	0.3328	0.2324	0.1090	0.164
128	0.0551	0.3095	0.0310	0.0832	0.3199	0.2209	0.1003	0.167
129	0.0752	0.3575	0.0451	0.1123	0.3809	0.2986	0.1586	0.090
130	0.0661	0.3326	0.0385	0.1006	0.3403	0.2387	0.1122	0.164
131	0.0678	0.3417	0.0405	0.1051	0.3441	0.2374	0.1101	0.180
132	0.0546	0.3424	0.0326	0.0931	0.3275	0.2040	0.0825	0.253
133	0.0540	0.3467	0.0316	0.0923	0.3505	0.2433	0.1061	0.175
134	0.0759	0.3362	0.0441	0.1077	0.3596	0.2749	0.1438	0.100
135	0.0667	0.3494	0.0404	0.1060	0.3468	0.2348	0.1065	0.196
136	0.0677	0.3672	0.0410	0.1078	0.3776	0.2778	0.1364	0.139
137	0.0643	0.3548	0.0392	0.1051	0.3477	0.2310	0.1019	0.211
138	0.0525	0.3127	0.0300	0.0826	0.3113	0.2016	0.0867	0.216
139	0.0747	0.3394	0.0451	0.1106	0.3416	0.2365	0.1146	0.179
140	0.0666	0.3420	0.0397	0.1031	0.3400	0.2291	0.1057	0.198
141	0.0645	0.3329	0.0366	0.0968	0.3570	0.2734	0.1373	0.098
142	0.0682	0.3647	0.0413	0.1089	0.3800	0.2883	0.1449	0.117
143	0.0720	0.3629	0.0446	0.1128	0.3625	0.2523	0.1198	0.180
144	0.0668	0.3350	0.0380	0.0989	0.3623	0.2828	0.1460	0.084
145	0.0717	0.3551	0.0443	0.1117	0.3486	0.2341	0.1085	0.205
146	0.0688	0.3511	0.0418	0.1078	0.3498	0.2391	0.1107	0.190
147	0.0647	0.3263	0.0375	0.0979	0.3291	0.2235	0.1039	0.187
148	0.0602	0.3101	0.0336	0.0880	0.3229	0.2267	0.1073	0.155
149	0.0707	0.3396	0.0430	0.1085	0.3348	0.2232	0.1025	0.207
150	0.0549	0.3424	0.0324	0.0925	0.3373	0.2214	0.0930	0.215
151	0.0714	0.3362	0.0424	0.1065	0.3407	0.2369	0.1137	0.173
152	0.0693	0.3402	0.0402	0.1030	0.3593	0.2688	0.1350	0.117
153	0.0689	0.3257	0.0388	0.0980	0.3507	0.2666	0.1366	0.100
154	0.0575	0.3372	0.0329	0.0914	0.3566	0.2672	0.1283	0.116
155	0.0563	0.3228	0.0320	0.0869	0.3342	0.2347	0.1075	0.158
156	0.0704	0.3651	0.0431	0.1109	0.3754	0.2765	0.1363	0.138
157	0.0688	0.3400	0.0417	0.1065	0.3330	0.2195	0.1000	0.215
158	0.0700	0.3573	0.0413	0.1072	0.3889	0.3214	0.1789	0.053
159	0.0594	0.3009	0.0329	0.0842	0.3143	0.2195	0.1057	0.156
160	0.0605	0.3304	0.0341	0.0915	0.3551	0.2715	0.1348	0.098
161	0.0686	0.3492	0.0406	0.1052	0.3636	0.2683	0.1321	0.131
162	0.0721	0.3471	0.0420	0.1063	0.3759	0.2992	0.1598	0.074
163	0.0507	0.3320	0.0298	0.0858	0.3237	0.2055	0.0836	0.235
164	0.0592	0.3399	0.0350	0.0967	0.3368	0.2236	0.0970	0.206
165	0.0545	0.3428	0.0311	0.0865	0.3713	0.2942	0.1500	0.076
166	0.0575	0.3255	0.0326	0.0876	0.3407	0.2445	0.1147	0.142
167	0.0693	0.3640	0.0423	0.1095	0.3725	0.2711	0.1319	0.146
168	0.0529	0.3527	0.0310	0.0903	0.3636	0.2641	0.1209	0.144
169	0.0613	0.3238	0.0354	0.0944	0.3248	0.2174	0.0984	0.197
170	0.0667	0.3691	0.0397	0.1061	0.3986	0.3296	0.1838	0.057
171	0.0601	0.3448	0.0357	0.0986	0.3444	0.2334	0.1026	0.193
172	0.0712	0.3703	0.0438	0.1127	0.3832	0.2884	0.1454	0.124
173	0.0580	0.3317	0.0332	0.0910	0.3450	0.2478	0.1149	0.145
174	0.0743	0.3197	0.0426	0.1035	0.3355	0.2438	0.1244	0.135
175	0.0648	0.3204	0.0357	0.0912	0.3550	0.2829	0.1488	0.062
176	0.0773	0.3415	0.0462	0.1118	0.3551	0.2603	0.1321	0.135
177	0.0562	0.3298	0.0326	0.0896	0.3304	0.2205	0.0969	0.199
178	0.0580	0.3276	0.0335	0.0914	0.3294	0.2211	0.0982	0.194
179	0.0630	0.3195	0.0357	0.0936	0.3317	0.2345	0.1112	0.153
180	0.0548	0.3479	0.0317	0.0899	0.3653	0.2731	0.1303	0.120
181	0.0589	0.3043	0.0327	0.0840	0.3206	0.2277	0.1096	0.144
182	0.0645	0.3372	0.0376	0.0992	0.3457	0.2436	0.1145	0.161
183	0.0620	0.3175	0.0343	0.0884	0.3465	0.2665	0.1349	0.087
184	0.0731	0.3588	0.0444	0.1117	0.3715	0.2748	0.1374	0.133
185	0.0527	0.3420	0.0305	0.0866	0.3590	0.2661	0.1247	0.125
186	0.0590	0.3062	0.0330	0.0866	0.3169	0.2191	0.1025	0.166
187	0.0578	0.3227	0.0324	0.0884	0.3453	0.2599	0.1252	0.108
188	0.0605	0.3156	0.0334	0.0864	0.3450	0.2657	0.1340	0.086
189	0.0586	0.3141	0.0331	0.0875	0.3223	0.2212	0.1027	0.174
190	0.0743	0.3389	0.0452	0.1109	0.3366	0.2283	0.1089	0.195
191	0.0626	0.3356	0.0373	0.0999	0.3278	0.2126	0.0926	0.224
192	0.0632	0.3303	0.0362	0.0967	0.3449	0.2500	0.1187	0.138
193	0.0713	0.3438	0.0429	0.1080	0.3472	0.2418	0.1156	0.174
194	0.0727	0.3448	0.0443	0.1104	0.3438	0.2352	0.1113	0.189
195	0.0703	0.3251	0.0390	0.0977	0.3617	0.2930	0.1586	0.052
196	0.0619	0.2988	0.0339	0.0849	0.3199	0.2327	0.1161	0.124
197	0.0752	0.3358	0.0443	0.1084	0.3524	0.2606	0.1323	0.126
198	0.0535	0.3149	0.0309	0.0843	0.3116	0.2005	0.0866	0.222
199	0.0556	0.3310	0.0319	0.0899	0.3409	0.2405	0.1076	0.158
200	0.0659	0.3126	0.0372	0.0945	0.3240	0.2276	0.1108	0.157
201	0.0667	0.3387	0.0404	0.1048	0.3309	0.2163	0.0964	0.221
202	0.0588	0.3033	0.0325	0.0827	0.3251	0.2375	0.1159	0.122
203	0.0702	0.3498	0.0426	0.1090	0.3564	0.2539	0.1208	0.159
204	0.0624	0.3472	0.0386	0.1048	0.3274	0.2019	0.0818	0.265
205	0.0679	0.3531	0.0394	0.1033	0.3883	0.3254	0.1832	0.041
206	0.0625	0.3360	0.0373	0.1009	0.3320	0.2193	0.0947	0.210
207	0.0735	0.3253	0.0431	0.1060	0.3356	0.2387	0.1176	0.154
208	0.0536	0.3365	0.0318	0.0923	0.3240	0.2028	0.0803	0.248
209	0.0715	0.3274	0.0422	0.1053	0.3319	0.2294	0.1100	0.176
210	0.0655	0.3144	0.0366	0.0934	0.3334	0.2433	0.1202	0.127
211	0.0554	0.3263	0.0319	0.0889	0.3321	0.2273	0.1000	0.179
212	0.0687	0.3503	0.0415	0.1075	0.3582	0.2569	0.1221	0.154
213	0.0593	0.3393	0.0341	0.0942	0.3590	0.2704	0.1307	0.113
214	0.0670	0.3307	0.0396	0.1021	0.3309	0.2233	0.1032	0.194
215	0.0681	0.3346	0.0405	0.1036	0.3349	0.2273	0.1059	0.191
216	0.0527	0.3209	0.0300	0.0828	0.3384	0.2464	0.1132	0.131
217	0.0641	0.3389	0.0370	0.0980	0.3575	0.2665	0.1305	0.120
218	0.0687	0.3335	0.0411	0.1053	0.3337	0.2263	0.1041	0.191
219	0.0604	0.3358	0.0350	0.0960	0.3473	0.2489	0.1148	0.149
220	0.0609	0.3095	0.0343	0.0904	0.3186	0.2196	0.1020	0.170
221	0.0571	0.3309	0.0319	0.0856	0.3694	0.3073	0.1665	0.037
222	0.0576	0.3561	0.0334	0.0958	0.3831	0.3105	0.1639	0.068
223	0.0580	0.3039	0.0322	0.0832	0.3243	0.2357	0.1132	0.126
224	0.0726	0.3447	0.0415	0.1047	0.3879	0.3362	0.1986	0.012
225	0.0642	0.3491	0.0388	0.1046	0.3503	0.2418	0.1081	0.182
226	0.0754	0.3209	0.0437	0.1056	0.3356	0.2433	0.1237	0.138
227	0.0671	0.3222	0.0377	0.0963	0.3465	0.2621	0.1322	0.103
228	0.0518	0.3141	0.0297	0.0815	0.3186	0.2132	0.0925	0.191
229	0.0720	0.3513	0.0436	0.1102	0.3621	0.2641	0.1293	0.142
230	0.0626	0.3342	0.0365	0.0982	0.3435	0.2430	0.1120	0.158
231	0.0700	0.3274	0.0396	0.1003	0.3560	0.2782	0.1446	0.081
232	0.0581	0.3041	0.0325	0.0840	0.3158	0.2188	0.1034	0.163
233	0.0625	0.3106	0.0352	0.0918	0.3225	0.2261	0.1069	0.157
234	0.0707	0.3337	0.0406	0.1030	0.3609	0.2819	0.1464	0.084
235	0.0652	0.3121	0.0366	0.0943	0.3275	0.2346	0.1133	0.142
236	0.0620	0.3395	0.0353	0.0953	0.3678	0.2908	0.1495	0.077
237	0.0579	0.3468	0.0330	0.0926	0.3799	0.3146	0.1707	0.049
238	0.0786	0.3271	0.0447	0.1067	0.3617	0.2911	0.1598	0.058
239	0.0693	0.3281	0.0406	0.1038	0.3382	0.2402	0.1141	0.155
240	0.0676	0.3383	0.0378	0.0974	0.3836	0.3339	0.1961	0.007
241	0.0646	0.3545	0.0374	0.1008	0.3906	0.3318	0.1893	0.033
242	0.0620	0.3424	0.0367	0.0991	0.3464	0.2399	0.1089	0.176
243	0.0572	0.3239	0.0320	0.0862	0.3546	0.2803	0.1419	0.072
244	0.0705	0.3210	0.0409	0.1020	0.3305	0.2326	0.1135	0.160
245	0.0575	0.3593	0.0336	0.0968	0.3854	0.3126	0.1655	0.070
246	0.0655	0.3366	0.0379	0.0993	0.3539	0.2615	0.1275	0.126
247	0.0594	0.3313	0.0351	0.0964	0.3252	0.2108	0.0895	0.222
248	0.0505	0.3093	0.0292	0.0812	0.3078	0.1982	0.0825	0.219
249	0.0647	0.3298	0.0361	0.0945	0.3646	0.2960	0.1576	0.054
250	0.0624	0.3246	0.0359	0.0948	0.3332	0.2321	0.1079	0.166
251	0.0693	0.3517	0.0426	0.1096	0.3508	0.2410	0.1107	0.187
252	0.0527	0.3192	0.0307	0.0876	0.3120	0.1970	0.0795	0.237
253	0.0633	0.3172	0.0345	0.0881	0.3611	0.3056	0.1702	0.019
254	0.0570	0.3355	0.0322	0.0877	0.3678	0.2962	0.1538	0.062
255	0.0576	0.3334	0.0322	0.0863	0.3731	0.3128	0.1713	0.032
256	0.0699	0.3395	0.0428	0.1086	0.3343	0.2225	0.1005	0.208
257	0.0758	0.3649	0.0459	0.1141	0.3930	0.3188	0.1755	0.067
258	0.0682	0.3288	0.0389	0.0995	0.3516	0.2659	0.1338	0.106
259	0.0732	0.3237	0.0427	0.1049	0.3347	0.2384	0.1182	0.152
260	0.0713	0.3456	0.0412	0.1047	0.3780	0.3065	0.1660	0.060
261	0.0685	0.3307	0.0404	0.1029	0.3362	0.2332	0.1104	0.173
262	0.0659	0.3127	0.0373	0.0961	0.3261	0.2316	0.1108	0.149
263	0.0615	0.3305	0.0341	0.0898	0.3724	0.3160	0.1770	0.022
264	0.0576	0.3312	0.0332	0.0909	0.3424	0.2427	0.1110	0.154
265	0.0600	0.3331	0.0346	0.0941	0.3452	0.2469	0.1144	0.149
266	0.0646	0.3189	0.0375	0.0977	0.3211	0.2163	0.0993	0.192
267	0.0753	0.3378	0.0436	0.1072	0.3674	0.2907	0.1553	0.075
268	0.0507	0.3326	0.0292	0.0832	0.3540	0.2687	0.1271	0.106
269	0.0618	0.3188	0.0342	0.0899	0.3503	0.2761	0.1411	0.072
270	0.0708	0.3219	0.0412	0.1031	0.3333	0.2372	0.1152	0.151
271	0.0711	0.3499	0.0418	0.1078	0.3822	0.3166	0.1753	0.050
272	0.0658	0.3335	0.0370	0.0968	0.3690	0.3026	0.1633	0.049
273	0.0545	0.3063	0.0307	0.0820	0.3200	0.2244	0.1021	0.154
274	0.0695	0.3233	0.0408	0.1038	0.3302	0.2298	0.1075	0.169
275	0.0733	0.3323	0.0425	0.1052	0.3553	0.2703	0.1388	0.103
276	0.0610	0.3315	0.0345	0.0925	0.3575	0.2761	0.1380	0.091
277	0.0555	0.3077	0.0317	0.0867	0.3077	0.2005	0.0865	0.211
278	0.0626	0.2918	0.0340	0.0831	0.3178	0.2363	0.1204	0.105
279	0.0605	0.3004	0.0333	0.0845	0.3233	0.2377	0.1167	0.117
280	0.0577	0.3425	0.0338	0.0952	0.3518	0.2512	0.1135	0.154
281	0.0544	0.3122	0.0313	0.0874	0.3096	0.1994	0.0834	0.220
282	0.0716	0.3439	0.0432	0.1090	0.3524	0.2522	0.1212	0.154
283	0.0642	0.3335	0.0376	0.0997	0.3431	0.2431	0.1129	0.157
284	0.0665	0.3321	0.0397	0.1027	0.3314	0.2230	0.1016	0.197
285	0.0649	0.3580	0.0384	0.1029	0.3813	0.2995	0.1545	0.089
286	0.0581	0.3074	0.0323	0.0833	0.3293	0.2414	0.1165	0.120
287	0.0691	0.3426	0.0402	0.1033	0.3688	0.2885	0.1494	0.086
288	0.0737	0.3445	0.0445	0.1104	0.3550	0.2569	0.1261	0.146
289	0.0785	0.3252	0.0453	0.1077	0.3526	0.2735	0.1455	0.086
290	0.0689	0.3216	0.0396	0.0999	0.3355	0.2409	0.1181	0.143
291	0.0592	0.3174	0.0330	0.0863	0.3459	0.2658	0.1323	0.088
292	0.0589	0.3292	0.0330	0.0884	0.3618	0.2895	0.1494	0.064
293	0.0596	0.3182	0.0338	0.0900	0.3307	0.2332	0.1084	0.154
294	0.0560	0.3160	0.0321	0.0878	0.3193	0.2136	0.0936	0.193
295	0.0714	0.3373	0.0422	0.1060	0.3506	0.2549	0.1254	0.139
296	0.0578	0.2942	0.0321	0.0815	0.3083	0.2149	0.1029	0.156
297	0.0631	0.3098	0.0356	0.0921	0.3218	0.2257	0.1072	0.157
298	0.0679	0.3358	0.0402	0.1034	0.3431	0.2412	0.1137	0.164
299	0.0700	0.3256	0.0393	0.0988	0.3577	0.2833	0.1494	0.069
300	0.0701	0.3316	0.0421	0.1057	0.3306	0.2232	0.1044	0.195
301	0.0606	0.3278	0.0353	0.0950	0.3328	0.2282	0.1026	0.179
302	0.0632	0.3229	0.0367	0.0970	0.3270	0.2228	0.1013	0.183
303	0.0597	0.3271	0.0355	0.0966	0.3180	0.2024	0.0853	0.236
304	0.0796	0.3289	0.0457	0.1085	0.3638	0.2947	0.1624	0.055
305	0.0595	0.3494	0.0355	0.0996	0.3530	0.2464	0.1091	0.173
306	0.0788	0.3369	0.0462	0.1108	0.3687	0.2972	0.1622	0.063
307	0.0671	0.3486	0.0411	0.1074	0.3465	0.2354	0.1057	0.194
308	0.0627	0.3258	0.0344	0.0902	0.3735	0.3304	0.1964	-0.007
309	0.0544	0.3266	0.0312	0.0868	0.3387	0.2401	0.1080	0.153
310	0.0683	0.3632	0.0421	0.1105	0.3718	0.2724	0.1306	0.143
311	0.0652	0.3011	0.0362	0.0915	0.3170	0.2260	0.1110	0.142
312	0.0658	0.3329	0.0385	0.1003	0.3420	0.2414	0.1137	0.159
313	0.0579	0.3284	0.0322	0.0848	0.3734	0.3227	0.1841	0.009
314	0.0701	0.3495	0.0402	0.1034	0.3925	0.3421	0.2031	0.011
315	0.0730	0.3108	0.0414	0.1005	0.3294	0.2412	0.1233	0.126
316	0.0694	0.3336	0.0402	0.1022	0.3526	0.2623	0.1307	0.120
317	0.0714	0.3235	0.0410	0.1027	0.3454	0.2602	0.1309	0.108
318	0.0627	0.3076	0.0346	0.0892	0.3325	0.2494	0.1232	0.104
319	0.0691	0.3476	0.0399	0.1029	0.3822	0.3148	0.1727	0.050
320	0.0755	0.3325	0.0424	0.1039	0.3771	0.3238	0.1880	0.013
321	0.0809	0.3236	0.0468	0.1093	0.3510	0.2719	0.1462	0.087
322	0.0689	0.3433	0.0420	0.1080	0.3447	0.2375	0.1086	0.182
323	0.0567	0.3298	0.0319	0.0853	0.3639	0.2930	0.1518	0.059
324	0.0691	0.3423	0.0419	0.1071	0.3441	0.2373	0.1099	0.181
325	0.0668	0.3058	0.0366	0.0914	0.3344	0.2555	0.1310	0.090
326	0.0693	0.3322	0.0409	0.1050	0.3446	0.2490	0.1186	0.143
327	0.0679	0.3306	0.0386	0.0993	0.3591	0.2815	0.1453	0.080
328	0.0767	0.3588	0.0455	0.1124	0.3990	0.3455	0.2060	0.019
329	0.0670	0.3360	0.0410	0.1061	0.3276	0.2132	0.0930	0.224
330	0.0651	0.2995	0.0359	0.0895	0.3182	0.2294	0.1150	0.133
331	0.0575	0.3121	0.0321	0.0833	0.3373	0.2528	0.1229	0.105
332	0.0621	0.3172	0.0349	0.0922	0.3383	0.2511	0.1212	0.116
333	0.0572	0.3188	0.0322	0.0864	0.3387	0.2487	0.1175	0.124
334	0.0616	0.3191	0.0339	0.0871	0.3590	0.2956	0.1585	0.038
335	0.0646	0.3261	0.0381	0.1002	0.3277	0.2213	0.0994	0.191
336	0.0681	0.3298	0.0407	0.1042	0.3307	0.2243	0.1027	0.190
337	0.0646	0.3154	0.0355	0.0906	0.3503	0.2793	0.1460	0.061
338	0.0674	0.3426	0.0395	0.1034	0.3636	0.2778	0.1388	0.104
339	0.0681	0.3354	0.0403	0.1033	0.3442	0.2438	0.1158	0.158
