,cab,chp,cm,cw,fcov,fmc,lai,landcover,band_0_blue,band_1_green,band_2_red,band_3_nir
0,83.08,1.88999999,0.0192,0.004,0.4,20.833333333333336,1.42669978,forest,0.05101967605469512,0.07712886193385184,0.09298878103604019,0.25122257795644576
1,83.08,1.88999999,0.0192,0.004,0.6,20.833333333333336,1.42669978,forest,0.041722252327596646,0.06330140920177736,0.07232444010806349,0.2566266837426288
2,83.08,1.88999999,0.0192,0.004,0.8,20.833333333333336,1.42669978,forest,0.03380760588716596,0.051533227765622754,0.054316057054722554,0.26502878733555774
3,83.08,1.88999999,0.0192,0.004,1.0,20.833333333333336,1.42669978,forest,0.028437039942738423,0.04355440288936715,0.041194646655042175,0.2789471241023198
4,83.08,1.88999999,0.0192,0.004,0.4,20.833333333333336,1.23237228,forest,0.05235235493769355,0.07915455613103604,0.0958800900253414,0.2506600125979604
5,83.08,1.88999999,0.0192,0.004,0.6,20.833333333333336,1.23237228,forest,0.04359096984049779,0.06614298341915337,0.07640925440115345,0.25541470623965085
6,83.08,1.88999999,0.0192,0.004,0.8,20.833333333333336,1.23237228,forest,0.036088239085574535,0.05500400410811302,0.05935523860381505,0.26281756829210545
7,83.08,1.88999999,0.0192,0.004,1.0,20.833333333333336,1.23237228,forest,0.030902059249447437,0.04731016303705394,0.046748021140745305,0.27509325337212287
8,83.08,1.88999999,0.0192,0.004,0.4,20.833333333333336,1.05526548,forest,0.0538395877601807,0.08140582527358893,0.09911302848133774,0.2501120254865768
9,83.08,1.88999999,0.0192,0.004,0.6,20.833333333333336,1.05526548,forest,0.045688223615663236,0.06931882266055626,0.08100097579266102,0.254239769240019
10,83.08,1.88999999,0.0192,0.004,0.8,20.833333333333336,1.05526548,forest,0.038668780889036296,0.05891354997114602,0.06506079618637542,0.26068069130819865
11,83.08,1.88999999,0.0192,0.004,1.0,20.833333333333336,1.05526548,forest,0.033731983529528,0.05160202823440421,0.053116883650767985,0.27137753936474523
12,83.08,1.88999999,0.0192,0.004,0.4,20.833333333333336,0.89257421,forest,0.05548698677111822,0.08388951049816187,0.10269995695637163,0.24958620941161658
13,83.08,1.88999999,0.0192,0.004,0.6,20.833333333333336,0.89257421,forest,0.04802286533552327,0.07283964666679292,0.0861180951701246,0.2531123070703035
14,83.08,1.88999999,0.0192,0.004,0.8,20.833333333333336,0.89257421,forest,0.04156075053674328,0.06327629231820456,0.07145820881345269,0.2586297375255566
15,83.08,1.88999999,0.0192,0.004,1.0,20.833333333333336,0.89257421,forest,0.03694309133963119,0.05644881482479634,0.060334717016965356,0.2678107803576079
16,83.08,1.88999999,0.0192,0.004,0.4,20.833333333333336,0.74212736,forest,0.057299889587865846,0.08661166974003906,0.10665217173485855,0.2490879947141136
17,83.08,1.88999999,0.0192,0.004,0.6,20.833333333333336,0.74212736,forest,0.0506027577727056,0.07671417893607595,0.09177810263803558,0.252039246304328
18,83.08,1.88999999,0.0192,0.004,0.8,20.833333333333336,0.74212736,forest,0.044775850852319464,0.06810547908486546,0.07857132169212266,0.25667213986230725
19,83.08,1.88999999,0.0192,0.004,1.0,20.833333333333336,0.74212736,forest,0.04054911364000121,0.06186795769266463,0.068432543348737,0.2643996245933755
20,83.08,1.88999999,0.0192,0.004,0.4,20.833333333333336,0.60221019,forest,0.05928344009576707,0.08957799034250707,0.11098037661381652,0.2486208709969494
21,83.08,1.88999999,0.0192,0.004,0.6,20.833333333333336,0.60221019,forest,0.053436180340008126,0.08095171586513598,0.09799764648957987,0.2510247423423543
22,83.08,1.88999999,0.0192,0.004,0.8,20.833333333333336,0.60221019,forest,0.04832401210241057,0.0734131343907323,0.0864229511512563,0.2548128142107718
23,83.08,1.88999999,0.0192,0.004,1.0,20.833333333333336,0.60221019,forest,0.04456463692282212,0.06787568023236623,0.07743901217747895,0.2611472905412697
24,83.08,1.88999999,0.0192,0.004,0.4,20.833333333333336,1.42669978,forest,0.03807867848994233,0.05758238697386437,0.06798027499269177,0.19949062306942877
25,83.08,1.88999999,0.0192,0.004,0.6,20.833333333333336,1.42669978,forest,0.03240532882546538,0.049176416767034575,0.05428928786897049,0.2139721828020903
26,83.08,1.88999999,0.0192,0.004,0.8,20.833333333333336,1.42669978,forest,0.027714481879242057,0.042233711798427255,0.04248556670495509,0.23066132201093845
27,83.08,1.88999999,0.0192,0.004,1.0,20.833333333333336,1.42669978,forest,0.024830557349049102,0.03798348828650038,0.034154789008195754,0.251412599269033
28,83.08,1.88999999,0.0192,0.004,0.4,20.833333333333336,1.23237228,forest,0.038918753466585986,0.058856276623684874,0.06991566839799153,0.19703419898158286
29,83.08,1.88999999,0.0192,0.004,0.6,20.833333333333336,1.23237228,forest,0.033573017453637624,0.05094774698557115,0.05701349933430852,0.21002585223168196
30,83.08,1.88999999,0.0192,0.004,0.8,20.833333333333336,1.23237228,forest,0.029121354207785742,0.044369777434411825,0.04582896906515354,0.22497689452790562
31,83.08,1.88999999,0.0192,0.004,1.0,20.833333333333336,1.23237228,forest,0.026315383273237625,0.04024019255441498,0.03780490220767088,0.24353288653005084
32,83.08,1.88999999,0.0192,0.004,0.4,20.833333333333336,1.05526548,forest,0.03985355926321921,0.060267624393212586,0.07207808848352251,0.19456950938425263
33,83.08,1.88999999,0.0192,0.004,0.6,20.833333333333336,1.05526548,forest,0.034880277089172636,0.05292199565388222,0.060074433287222874,0.20607660503703992
34,83.08,1.88999999,0.0192,0.004,0.8,20.833333333333336,1.05526548,forest,0.030711195649329868,0.046771508989872396,0.049614666183781346,0.2193031539110503
35,83.08,1.88999999,0.0192,0.004,1.0,20.833333333333336,1.05526548,forest,0.028022043255406408,0.04282004803103818,0.04199551704411702,0.23569395354116038
36,83.08,1.88999999,0.0192,0.004,0.4,20.833333333333336,0.89257421,forest,0.04088654819929789,0.06182025573148008,0.07447634725738912,0.19210927280122245
37,83.08,1.88999999,0.0192,0.004,0.6,20.833333333333336,0.89257421,forest,0.03633269118394092,0.05510557796147364,0.06348491212166947,0.20214247502666244
38,83.08,1.88999999,0.0192,0.004,0.8,20.833333333333336,0.89257421,forest,0.032491074776805115,0.04944775234555251,0.053859810443388445,0.21366353775440222
39,83.08,1.88999999,0.0192,0.004,1.0,20.833333333333336,0.89257421,forest,0.029959789036881117,0.04573470836229491,0.04674913421055876,0.2279222439719542
40,83.08,1.88999999,0.0192,0.004,0.4,20.833333333333336,0.74212736,forest,0.0420207372228533,0.06351803747584926,0.07711766070671128,0.18966392011373823
41,83.08,1.88999999,0.0192,0.004,0.6,20.833333333333336,0.74212736,forest,0.03793505516177066,0.05750409215018889,0.06725651732171462,0.19823792174360277
42,83.08,1.88999999,0.0192,0.004,0.8,20.833333333333336,0.74212736,forest,0.0344678209376372,0.05240649273763181,0.05858090034381221,0.20807537602685042
43,83.08,1.88999999,0.0192,0.004,1.0,20.833333333333336,0.74212736,forest,0.03213793429601862,0.04899506024491976,0.05208671943280915,0.2202373596309682
44,83.08,1.88999999,0.0192,0.004,0.4,20.833333333333336,0.60221019,forest,0.04325934046915674,0.0653643287269836,0.08000961223434279,0.18724084795175774
45,83.08,1.88999999,0.0192,0.004,0.6,20.833333333333336,0.60221019,forest,0.039692342032319826,0.0601231831522841,0.07140049527535484,0.19437394365846403
46,83.08,1.88999999,0.0192,0.004,0.8,20.833333333333336,0.60221019,forest,0.03664788375515811,0.05565549246754662,0.06379267706979308,0.20255250775033903
47,83.08,1.88999999,0.0192,0.004,1.0,20.833333333333336,0.60221019,forest,0.03456480322083548,0.052610892547795794,0.058027902004225626,0.2126546082606932
48,81.9,1.88999999,0.0199,0.0054,0.4,27.1356783919598,1.42669978,forest,0.051045129338328214,0.07723838274706778,0.09303037700873357,0.25004593232949496
