ID,FMC,VEGTYPE,red_630_690,nir1_780_900,blue_450_520,green_530_610,nir2_1230_1250,swir1_1550_1750,swir2_2090_2350
60,307.4,grass,0.0619,0.3717,0.0374,0.1042,0.38,0.2791,0.1339
61,307.3,grass,0.057999999999999996,0.3197,0.033,0.0891,0.3199,0.2117,0.0954
62,307.0,grass,0.0517,0.3393,0.0302,0.0877,0.3341,0.2176,0.0904
63,306.1,grass,0.0562,0.3442,0.0325,0.0921,0.3544,0.2537,0.1164
64,306.0,grass,0.053,0.3152,0.0302,0.0825,0.3178,0.2109,0.0927
65,305.9,grass,0.0564,0.3305,0.0319,0.0869,0.3476,0.2535,0.1201
66,303.8,grass,0.0597,0.3372,0.035,0.0951,0.3308,0.2153,0.095
67,302.9,grass,0.0702,0.3632,0.0429,0.1109,0.3701,0.2674,0.1295
68,302.7,grass,0.0724,0.3685,0.0447,0.1134,0.3717,0.2647,0.1286
69,302.6,grass,0.0622,0.3598,0.0375,0.1023,0.3576,0.244,0.11
70,302.4,grass,0.0566,0.3475,0.0333,0.0934,0.3455,0.2316,0.1014
71,302.0,grass,0.0577,0.3275,0.0331,0.0905,0.3283,0.2192,0.0978
72,300.0,grass,0.0685,0.3641,0.0406,0.1074,0.3962,0.3325,0.1898
73,300.0,grass,0.06,0.3445,0.0359,0.0999,0.3333,0.2133,0.0893
74,300.0,grass,0.0596,0.3213,0.0339,0.0909,0.3243,0.2183,0.0996
75,300.0,grass,0.0657,0.337,0.0387,0.10099999999999999,0.3348,0.2242,0.1034
76,300.0,grass,0.0665,0.3767,0.0402,0.1089,0.4038,0.3357,0.1898
77,298.0,grass,0.0565,0.3273,0.0324,0.0887,0.3278,0.2181,0.09699999999999999
78,297.9,grass,0.0485,0.3414,0.0288,0.086,0.3269,0.2023,0.0784
79,297.8,grass,0.0683,0.3674,0.0427,0.1115,0.3562,0.2358,0.1052
80,297.8,grass,0.0565,0.3299,0.0324,0.0907,0.3343,0.2281,0.1007
81,297.6,grass,0.0498,0.3274,0.0289,0.0814,0.3295,0.22,0.094
82,297.1,grass,0.0657,0.3566,0.039,0.1033,0.3678,0.2681,0.1301
83,294.4,grass,0.0614,0.3272,0.0354,0.0951,0.3287,0.2211,0.1
84,293.6,grass,0.0717,0.3487,0.0431,0.1088,0.3526,0.247,0.1189
85,292.9,grass,0.0519,0.3251,0.0298,0.0818,0.3317,0.2265,0.1004
86,292.5,grass,0.062,0.3465,0.0363,0.0981,0.3533,0.2487,0.1158
87,292.2,grass,0.0532,0.3245,0.0307,0.0854,0.3221,0.2098,0.0901
88,291.7,grass,0.0628,0.3532,0.0379,0.1021,0.3453,0.2276,0.1006
89,291.7,grass,0.0631,0.3515,0.0365,0.0985,0.37799999999999995,0.2992,0.156
90,291.4,grass,0.0561,0.3429,0.0337,0.0964,0.32299999999999995,0.1962,0.0774
