ID,FMC
1,391.7
2,385.7
3,381.4
4,380
5,380
6,373.3
7,372
8,368.8
9,361.5
10,361.4
11,360
12,359.5
13,357.9
14,356.7
15,354.8
16,354.2
17,353.5
18,350
19,348.6
20,346.2
21,345.9
22,345.5
23,345.5
24,343.6
25,342.9
26,342.9
27,340
28,332.4
29,332
30,328.3
31,327.8
32,327.5
33,326.9
34,326.9
35,326.8
36,325.6
37,325
38,325
39,320
40,320
41,320
42,318.9
43,318.9
44,317.1
45,317
46,315.1
47,313.6
48,312.9
49,312.8
50,312.2
51,310.8
52,310.2
53,310
54,309.5
55,309.3
56,309.1
57,309.1
58,308.8
59,308
60,307.4
61,307.3
62,307
63,306.1
64,306
65,305.9
66,303.8
67,302.9
68,302.7
69,302.6
70,302.4
71,302
72,300
73,300
74,300
75,300
76,300
77,298
78,297.9
79,297.8
80,297.8
81,297.6
82,297.1
83,294.4
84,293.6
85,292.9
86,292.5
87,292.2
88,291.7
89,291.7
90,291.4
91,291.3
92,290
93,288.9
94,288.5
95,287.5
96,287.3
97,286.8
98,286.8
99,286.2
100,285.7
101,285.7
102,285
103,284.2
104,284.2
105,283.9
106,283.3
107,283.3
108,283.3
109,282.6
110,281.8
111,281.8
112,281.6
113,281.4
114,281.1
115,281.1
116,281
117,280
118,280
119,279.2
120,278.6
121,278.4
122,278.4
123,278.2
124,277.8
125,277.8
126,277.6
127,276.9
128,276.9
129,276.7
130,276.5
131,276.5
132,276.4
133,276.3
134,276.2
135,276
136,275.8
137,275.5
138,274.6
139,274.6
140,274.5
141,274.3
142,273.3
143,273.3
144,272.7
145,272.2
146,272
147,271.7
148,271.4
149,271
150,270.8
151,270.2
152,270
153,269.8
154,269.7
155,269.6
156,268.6
157,268.3
158,268.2
159,267.7
160,267.6
161,266.7
162,266.7
163,266
164,265.4
165,265.2
166,265.1
167,264.9
168,264.5
169,263.9
170,263.2
171,262.5
172,262.5
173,261.9
174,261.9
175,261.8
176,260.8
177,260.4
178,260
179,260
180,260
181,259.6
182,259.2
183,259
184,259
185,258.1
186,258.1
187,257.9
188,257.9
189,257.6
190,257.6
191,257.1
192,256.5
193,256.4
194,255.9
195,255.9
196,255
197,254.9
